Age,Gender,Height_m,Weight_kg,BMI,Activity_Level,Label,Recommendation
59,0,1.72,44.52,15.05,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
35,1,1.86,73.47,21.24,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
37,1,1.94,117.47,31.21,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
19,0,1.79,48.83,15.24,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
46,0,1.53,47.66,20.36,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
55,0,1.58,84.04,33.66,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
34,1,1.62,49.17,18.74,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
29,0,1.52,48.85,21.14,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
51,0,1.68,49.18,17.42,2,0,"Underfit: Increase calories, protein-rich diet, strength training"
44,0,1.61,89.34,34.47,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
25,1,1.66,42.53,15.43,1,0,"Underfit: Increase calories, protein-rich diet, strength training"
36,1,1.42,58.57,29.05,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
36,0,1.83,70.33,21,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
57,0,1.75,49.8,16.26,1,0,"Underfit: Increase calories, protein-rich diet, strength training"
50,0,1.59,56.38,22.3,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
27,1,1.97,88.46,22.79,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
46,1,1.62,67.26,25.63,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
53,1,1.78,101.91,32.17,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
59,1,1.75,84.42,27.57,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
56,0,1.89,63.29,17.72,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
42,0,1.65,47.66,17.51,2,0,"Underfit: Increase calories, protein-rich diet, strength training"
31,0,1.45,39.6,18.83,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
21,1,1.47,53.76,24.88,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
52,1,1.64,53.38,19.85,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
53,1,1.62,81.95,31.23,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
44,1,1.62,87.14,33.2,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
51,0,1.69,92.62,32.43,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
29,1,1.72,99.89,33.76,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
31,1,1.64,58.11,21.6,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
57,0,1.77,73.87,23.58,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
56,0,1.62,41.78,15.92,2,0,"Underfit: Increase calories, protein-rich diet, strength training"
46,0,1.76,68.99,22.27,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
23,1,1.62,43.63,16.62,2,0,"Underfit: Increase calories, protein-rich diet, strength training"
42,0,1.84,51.02,15.07,1,0,"Underfit: Increase calories, protein-rich diet, strength training"
47,1,1.82,75.67,22.84,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
55,0,1.98,123.17,31.42,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
18,1,1.93,68.21,18.31,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
43,1,1.9,69.05,19.13,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
34,0,1.92,64.54,17.51,1,0,"Underfit: Increase calories, protein-rich diet, strength training"
48,0,1.93,56.5,15.17,2,0,"Underfit: Increase calories, protein-rich diet, strength training"
28,0,1.83,64.84,19.36,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
21,0,1.43,66.78,32.66,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
34,0,1.68,56.94,20.17,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
39,1,1.79,88.46,27.61,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
40,0,1.92,106.28,28.83,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
56,1,1.69,81.58,28.56,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
53,0,1.66,85.85,31.15,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
38,0,1.88,64.55,18.26,1,0,"Underfit: Increase calories, protein-rich diet, strength training"
23,0,1.98,135.14,34.47,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
38,1,1.75,72.95,23.82,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
35,0,1.83,62.94,18.79,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
37,1,1.42,68.55,34,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
55,1,1.65,57.08,20.97,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
32,1,1.82,92.56,27.94,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
52,0,1.9,83.09,23.02,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
26,1,1.62,52.04,19.83,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
42,1,1.84,83.27,24.6,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
58,0,1.42,51.07,25.33,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
28,1,1.58,54.71,21.92,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
32,0,1.85,69.36,20.27,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
